,latitude,longitude,date of prediction,lead time,predicted precip,time,precip
13104,7.0,80.0,1991-01-01,0.5,3.7996585,1991-01-01,63.746296
13105,7.0,80.0,1991-01-01,1.5,2.465891,1991-02-01,28.626282
13106,7.0,80.0,1991-01-01,2.5,1.8732618,1991-03-01,155.9377
13107,7.0,80.0,1991-01-01,3.5,7.349196,1991-04-01,149.53566
13108,7.0,80.0,1991-01-01,4.5,9.719768,1991-05-01,224.8065
13109,7.0,80.0,1991-01-01,5.5,8.124303,1991-06-01,249.7898
13110,7.0,80.0,1991-01-01,6.5,5.575183,1991-07-01,96.55707
13111,7.0,80.0,1991-01-01,7.5,3.3522708,1991-08-01,123.563995
13112,7.0,80.0,1991-01-01,8.5,2.8619895,1991-09-01,122.066925
13113,7.0,80.0,1991-01-01,9.5,3.3041813,1991-10-01,374.00192
13114,7.0,80.0,1991-01-01,10.5,5.1626973,1991-11-01,249.94289
13115,7.0,80.0,1991-01-01,11.5,5.5523944,1991-12-01,102.773605
13116,7.0,80.0,1991-02-01,0.5,2.0203707,1991-02-01,28.626282
13117,7.0,80.0,1991-02-01,1.5,2.148545,1991-03-01,155.9377
13118,7.0,80.0,1991-02-01,2.5,6.497419,1991-04-01,149.53566
13119,7.0,80.0,1991-02-01,3.5,10.7805805,1991-05-01,224.8065
13120,7.0,80.0,1991-02-01,4.5,8.74659,1991-06-01,249.7898
13121,7.0,80.0,1991-02-01,5.5,6.459304,1991-07-01,96.55707
13122,7.0,80.0,1991-02-01,6.5,3.9932723,1991-08-01,123.563995
13123,7.0,80.0,1991-02-01,7.5,2.9862049,1991-09-01,122.066925
13124,7.0,80.0,1991-02-01,8.5,4.5444336,1991-10-01,374.00192
13125,7.0,80.0,1991-02-01,9.5,5.6161623,1991-11-01,249.94289
13126,7.0,80.0,1991-02-01,10.5,5.2760973,1991-12-01,102.773605
13127,7.0,80.0,1991-02-01,11.5,4.6364408,1992-01-01,35.286034
13128,7.0,80.0,1991-03-01,0.5,2.0537972,1991-03-01,155.9377
13129,7.0,80.0,1991-03-01,1.5,4.996332,1991-04-01,149.53566
13130,7.0,80.0,1991-03-01,2.5,11.481485,1991-05-01,224.8065
13131,7.0,80.0,1991-03-01,3.5,10.678633,1991-06-01,249.7898
13132,7.0,80.0,1991-03-01,4.5,7.2335386,1991-07-01,96.55707
13133,7.0,80.0,1991-03-01,5.5,3.8619103,1991-08-01,123.563995
13134,7.0,80.0,1991-03-01,6.5,3.5523338,1991-09-01,122.066925
13135,7.0,80.0,1991-03-01,7.5,4.258862,1991-10-01,374.00192
13136,7.0,80.0,1991-03-01,8.5,5.412808,1991-11-01,249.94289
13137,7.0,80.0,1991-03-01,9.5,5.3978415,1991-12-01,102.773605
