,latitude,longitude,date of prediction,lead time,predicted precip,time,precip
0,10.0,0.0,1991-01-01,0.5,0.12631235,1991-01-01,
1,10.0,0.0,1991-01-01,1.5,0.39052394,1991-02-01,
2,10.0,0.0,1991-01-01,2.5,1.2046986,1991-03-01,
3,10.0,0.0,1991-01-01,3.5,2.8469224,1991-04-01,
4,10.0,0.0,1991-01-01,4.5,3.5919852,1991-05-01,
5,10.0,0.0,1991-01-01,5.5,3.5401733,1991-06-01,
6,10.0,0.0,1991-01-01,6.5,8.615863,1991-07-01,
7,10.0,0.0,1991-01-01,7.5,11.585573,1991-08-01,
8,10.0,0.0,1991-01-01,8.5,8.933236,1991-09-01,
9,10.0,0.0,1991-01-01,9.5,4.8000073,1991-10-01,
10,10.0,0.0,1991-01-01,10.5,0.6481376,1991-11-01,
11,10.0,0.0,1991-01-01,11.5,0.06883927,1991-12-01,
12,10.0,0.0,1991-02-01,0.5,0.41287476,1991-02-01,
13,10.0,0.0,1991-02-01,1.5,1.5568066,1991-03-01,
14,10.0,0.0,1991-02-01,2.5,2.5340455,1991-04-01,
15,10.0,0.0,1991-02-01,3.5,3.5205383,1991-05-01,
16,10.0,0.0,1991-02-01,4.5,4.642946,1991-06-01,
17,10.0,0.0,1991-02-01,5.5,7.651841,1991-07-01,
18,10.0,0.0,1991-02-01,6.5,11.127584,1991-08-01,
19,10.0,0.0,1991-02-01,7.5,9.797018,1991-09-01,
20,10.0,0.0,1991-02-01,8.5,5.042508,1991-10-01,
21,10.0,0.0,1991-02-01,9.5,0.91410124,1991-11-01,
22,10.0,0.0,1991-02-01,10.5,0.01700006,1991-12-01,
23,10.0,0.0,1991-02-01,11.5,0.053415436,1992-01-01,
24,10.0,0.0,1991-03-01,0.5,1.3834735,1991-03-01,
25,10.0,0.0,1991-03-01,1.5,2.635871,1991-04-01,
26,10.0,0.0,1991-03-01,2.5,3.23284,1991-05-01,
27,10.0,0.0,1991-03-01,3.5,4.791369,1991-06-01,
28,10.0,0.0,1991-03-01,4.5,9.360966,1991-07-01,
29,10.0,0.0,1991-03-01,5.5,11.6402025,1991-08-01,
30,10.0,0.0,1991-03-01,6.5,9.243658,1991-09-01,
31,10.0,0.0,1991-03-01,7.5,4.7415056,1991-10-01,
32,10.0,0.0,1991-03-01,8.5,0.9348923,1991-11-01,
33,10.0,0.0,1991-03-01,9.5,0.028224045,1991-12-01,
34,10.0,0.0,1991-03-01,10.5,0.1319401,1992-01-01,
35,10.0,0.0,1991-03-01,11.5,0.35472926,1992-02-01,
36,10.0,0.0,1991-04-01,0.5,2.3238444,1991-04-01,
37,10.0,0.0,1991-04-01,1.5,3.2074466,1991-05-01,
38,10.0,0.0,1991-04-01,2.5,3.79172,1991-06-01,
39,10.0,0.0,1991-04-01,3.5,8.681963,1991-07-01,
40,10.0,0.0,1991-04-01,4.5,10.9507675,1991-08-01,
41,10.0,0.0,1991-04-01,5.5,10.293905,1991-09-01,
42,10.0,0.0,1991-04-01,6.5,5.251746,1991-10-01,
43,10.0,0.0,1991-04-01,7.5,1.0969064,1991-11-01,
44,10.0,0.0,1991-04-01,8.5,0.07075922,1991-12-01,
45,10.0,0.0,1991-04-01,9.5,0.087497756,1992-01-01,
46,10.0,0.0,1991-04-01,10.5,0.4082252,1992-02-01,
47,10.0,0.0,1991-04-01,11.5,1.0773637,1992-03-01,
48,10.0,0.0,1991-05-01,0.5,4.108783,1991-05-01,
49,10.0,0.0,1991-05-01,1.5,3.404325,1991-06-01,
50,10.0,0.0,1991-05-01,2.5,8.3397,1991-07-01,
51,10.0,0.0,1991-05-01,3.5,11.418856,1991-08-01,
52,10.0,0.0,1991-05-01,4.5,9.106234,1991-09-01,
53,10.0,0.0,1991-05-01,5.5,5.248128,1991-10-01,
54,10.0,0.0,1991-05-01,6.5,0.7001831,1991-11-01,
55,10.0,0.0,1991-05-01,7.5,0.05698312,1991-12-01,
56,10.0,0.0,1991-05-01,8.5,0.026139477,1992-01-01,
