lake_victoria_basin DJF Long Lead Monthly (Seasonal Tercile) Model
=== Monthly Predictions with Probabilities ===
 year  month  proba_an  proba_bn  proba_n true_label predicted_label
 2021      1  0.015892  0.004737 0.979372          n               n
 2021      2  0.009619  0.002050 0.988331          n               n
 2021     12  0.004104  0.007151 0.988745          n               n
 2022      1  0.278130  0.464233 0.257637         an              bn
 2022      2  0.278777  0.476234 0.244988         an              bn
 2022     12  0.293354  0.489645 0.217001         an              bn
 2023      1  0.242557  0.743887 0.013556          n              bn
 2023      2  0.501559  0.480695 0.017746          n              an
 2023     12  0.338837  0.634839 0.026324          n              bn
 2024      1  0.809964  0.183007 0.007028         an              an
 2024      2  0.842232  0.153176 0.004592         an              an
 2024     12  0.460966  0.536346 0.002687         an              bn
