southern_africa DJF Long Lead Monthly (Seasonal Tercile) Model
=== Monthly Predictions with Probabilities ===
 year  month  proba_an  proba_bn  proba_n true_label predicted_label
 2021      1  0.593662  0.027589 0.378749         an              an
 2021      2  0.611222  0.018465 0.370313         bn              an
 2021     12  0.967908  0.006774 0.025318         an              an
 2022      1  0.893640  0.018350 0.088009         bn              an
 2022      2  0.907734  0.015764 0.076502         an              an
 2022     12  0.879502  0.022741 0.097757         bn              an
 2023      1  0.249462  0.486996 0.263542          n              bn
 2023      2  0.277725  0.563324 0.158951         bn              bn
 2023     12  0.273211  0.224856 0.501933          n               n
 2024      1  0.079320  0.575098 0.345582         bn              bn
 2024      2  0.670042  0.023030 0.306927         bn              an
 2024     12  0.381457  0.436361 0.182181         bn              bn
