sri_lanka OND Long Lead Monthly (Seasonal Tercile) Model
=== Monthly Predictions with Probabilities ===
 year  month  proba_an  proba_bn  proba_n true_label predicted_label
 2021     10  0.005141  0.166503 0.828356          n               n
 2021     11  0.012681  0.279772 0.707547          n               n
 2021     12  0.397672  0.040516 0.561812          n               n
 2022     10  0.106046  0.117951 0.776004          n               n
 2022     11  0.079652  0.245699 0.674649          n               n
 2022     12  0.055479  0.172847 0.771674          n               n
 2023     10  0.229925  0.530611 0.239465         an              bn
 2023     11  0.154473  0.605724 0.239803         an              bn
 2023     12  0.181207  0.787680 0.031113         an              bn
 2024     10  0.106756  0.885728 0.007516          n              bn
 2024     11  0.049445  0.946834 0.003721          n              bn
 2024     12  0.176196  0.814708 0.009095          n              bn
