,latitude,longitude,date of prediction,lead time,predicted precip,time,precip
0,6.0,80.0,1991-01-01,0.5,4.2269106,1991-01-01,
1,6.0,80.0,1991-01-01,1.5,2.5906181,1991-02-01,
2,6.0,80.0,1991-01-01,2.5,4.0163665,1991-03-01,
3,6.0,80.0,1991-01-01,3.5,8.147636,1991-04-01,
4,6.0,80.0,1991-01-01,4.5,9.895918,1991-05-01,
5,6.0,80.0,1991-01-01,5.5,9.120224,1991-06-01,
6,6.0,80.0,1991-01-01,6.5,8.555048,1991-07-01,
7,6.0,80.0,1991-01-01,7.5,6.9736624,1991-08-01,
8,6.0,80.0,1991-01-01,8.5,5.854926,1991-09-01,
9,6.0,80.0,1991-01-01,9.5,7.3574805,1991-10-01,
10,6.0,80.0,1991-01-01,10.5,9.287764,1991-11-01,
11,6.0,80.0,1991-01-01,11.5,6.021078,1991-12-01,
12,6.0,80.0,1991-02-01,0.5,3.634543,1991-02-01,
13,6.0,80.0,1991-02-01,1.5,4.86557,1991-03-01,
14,6.0,80.0,1991-02-01,2.5,7.9897523,1991-04-01,
15,6.0,80.0,1991-02-01,3.5,11.462244,1991-05-01,
16,6.0,80.0,1991-02-01,4.5,9.317301,1991-06-01,
17,6.0,80.0,1991-02-01,5.5,8.091485,1991-07-01,
18,6.0,80.0,1991-02-01,6.5,7.177157,1991-08-01,
19,6.0,80.0,1991-02-01,7.5,5.819317,1991-09-01,
20,6.0,80.0,1991-02-01,8.5,8.213917,1991-10-01,
21,6.0,80.0,1991-02-01,9.5,9.526983,1991-11-01,
22,6.0,80.0,1991-02-01,10.5,6.961862,1991-12-01,
23,6.0,80.0,1991-02-01,11.5,3.4357917,1992-01-01,
24,6.0,80.0,1991-03-01,0.5,4.662038,1991-03-01,
25,6.0,80.0,1991-03-01,1.5,7.87294,1991-04-01,
26,6.0,80.0,1991-03-01,2.5,10.026611,1991-05-01,
27,6.0,80.0,1991-03-01,3.5,8.748892,1991-06-01,
28,6.0,80.0,1991-03-01,4.5,8.2648,1991-07-01,
29,6.0,80.0,1991-03-01,5.5,6.5875754,1991-08-01,
30,6.0,80.0,1991-03-01,6.5,6.4516654,1991-09-01,
31,6.0,80.0,1991-03-01,7.5,7.011026,1991-10-01,
32,6.0,80.0,1991-03-01,8.5,10.880301,1991-11-01,
33,6.0,80.0,1991-03-01,9.5,6.323607,1991-12-01,
34,6.0,80.0,1991-03-01,10.5,3.6268394,1992-01-01,
35,6.0,80.0,1991-03-01,11.5,2.8333037,1992-02-01,
36,6.0,80.0,1991-04-01,0.5,8.909121,1991-04-01,
37,6.0,80.0,1991-04-01,1.5,9.840666,1991-05-01,
38,6.0,80.0,1991-04-01,2.5,9.5340605,1991-06-01,
39,6.0,80.0,1991-04-01,3.5,8.613413,1991-07-01,
40,6.0,80.0,1991-04-01,4.5,7.489428,1991-08-01,
41,6.0,80.0,1991-04-01,5.5,5.9940467,1991-09-01,
42,6.0,80.0,1991-04-01,6.5,7.8227067,1991-10-01,
43,6.0,80.0,1991-04-01,7.5,11.690134,1991-11-01,
44,6.0,80.0,1991-04-01,8.5,6.2944584,1991-12-01,
45,6.0,80.0,1991-04-01,9.5,2.2010555,1992-01-01,
46,6.0,80.0,1991-04-01,10.5,2.9538283,1992-02-01,
47,6.0,80.0,1991-04-01,11.5,3.9758484,1992-03-01,
48,6.0,80.0,1991-05-01,0.5,8.857927,1991-05-01,
49,6.0,80.0,1991-05-01,1.5,10.484038,1991-06-01,
50,6.0,80.0,1991-05-01,2.5,9.26522,1991-07-01,
51,6.0,80.0,1991-05-01,3.5,9.58953,1991-08-01,
52,6.0,80.0,1991-05-01,4.5,7.679724,1991-09-01,
53,6.0,80.0,1991-05-01,5.5,7.899153,1991-10-01,
